attempts,pi,error,realerror,elapsed
2,3.1934813595783824,0.016516688097452038,0.019386209104883242,00.000031100
4,3.2343469445521364,0.02952460779928171,0.10676883878829098,00.000001300
8,3.3011767614493275,0.05079719920951016,0.059595561444953794,00.000001800
16,3.2329754179941554,0.02908803733671273,0.05130928276264765,00.000002600
32,3.1310198877468673,0.003365415892109571,0.03169874233350715,00.000006300
64,3.246644368889816,0.03343899954056223,0.02503565814302397,00.000010900
128,3.045707388461018,0.030521227829842942,0.018809813310418234,00.000023400
256,3.1897770331751283,0.015337564381644605,0.012961386169772228,00.000046100
512,3.1558193165005686,0.004528487451904092,0.009094097718781393,00.000108900
1024,3.1633467166565294,0.006924533338807846,0.006362901633297264,00.000179400
2048,3.1433405593581916,0.0005563756861989019,0.004521671147803981,00.000316400
4096,3.150842782889098,0.002944407604447058,0.003206322267765185,00.000518300
8192,3.1405911444288,0.0003187902670476905,0.0022745611797989934,00.001240800
16384,3.141511799866281,2.573653952862907e-05,0.0016032050038541747,00.003386100
32768,3.136585178738896,0.001593928749857299,0.0011269728674756217,00.004484700
65536,3.141143102987599,0.00014309640101829168,0.0007976227263178616,00.009120200
131072,3.1395641356719253,0.0006456973075582937,0.0005658486508833937,00.019534100
262144,3.1407543351092952,0.0002668450601130448,0.00039955577524351777,00.036920700
524288,3.142132595405322,0.00017186881784689444,0.0002826146370466989,00.078772000
1048576,3.142027563380524,0.00013843608598780704,0.000199913055319791,00.152408100
2097152,3.142147620851792,0.00017665156600252415,0.00014138802344469177,00.270240400
4194304,3.141867587868361,8.751429891898707e-05,9.994420348414736e-05,00.503369900
8388608,3.1416754176740325,2.6344626234333375e-05,7.066147229568679e-05,01.138590400
16777216,3.1420368506649514,0.00014139232043681232,4.997352091434786e-05,01.715773500
33554432,3.1414281761047746,5.2354809536024066e-05,3.533660288110719e-05,03.219331700
67108864,3.1416027349055686,3.208982477086068e-06,2.4988980793211216e-05,06.360893600
134217728,3.1417095122248604,3.719725882785712e-05,1.766769984326391e-05,12.788530700
268435456,3.1415851645369393,2.383839561536439e-06,1.249451489392836e-05,25.412628200
536870912,3.141540442046294,1.661945046875028e-05,8.834755679544885e-06,52.127490800
