attempts,average length, error
2,0.6747858481587461,0.2941672741364972
4,0.3381916433469505,0.3513845045797401
8,0.5621403247548089,0.07812517668418584
16,0.5833796113698797,0.11885986271566214
32,0.5899940346771904,0.13154562102693207
64,0.5873508661399799,0.1264763057319849
128,0.5281313781939349,0.012899645077325767
256,0.5100769183959439,0.021726882859691748
512,0.5310261829705452,0.018451571836201306
1024,0.5130270981045757,0.016068752888307752
2048,0.5158036329635518,0.010743655215037139
4096,0.5213015270295358,0.00019928088312041922
8192,0.5226985394243224,0.0024800398640902905
16384,0.5218477176990648,0.0008482545562666096
32768,0.5219518300551613,0.0010479309490970614
65536,0.5228135348205614,0.002700588766967964
131072,0.5213731214981372,6.19703296671525e-05
262144,0.5214486593573665,8.290322635014653e-05
524288,0.5218055649551215,0.0007674100900181325
1048576,0.5214343763441963,5.5509930727009555e-05
2097152,0.5213935968786817,2.2700733989510057e-05
4194304,0.5214953755518954,0.00017249990401678827
8388608,0.5214497638146761,8.502145765223521e-05
16777216,0.5213968529657527,1.645590632976465e-05
33554432,0.521397580470352,1.5060630114622823e-05
67108864,0.5214369209438258,6.0390201371689495e-05
134217728,0.5214007390095167,9.002888933274925e-06
268435456,0.5213830231820377,4.297995620600267e-05
536870912,0.5214187485492662,2.5537487142589345e-05
