attempts,probability,error
2,0.5,0.01749299158317321
4,0.75,0.5262394873747598
8,0.375,0.23688025631262008
16,0.4375,0.10969363236472345
32,0.5,0.01749299158317321
64,0.453125,0.07789697637774928
128,0.4765625,0.030201992397288036
256,0.546875,0.1128829595440957
512,0.47265625,0.03815115639403158
1024,0.4599609375,0.06398593938344808
2048,0.51708984375,0.0522705840689262
4096,0.480712890625,0.021756005650748023
8192,0.4901123046875,0.0026283297835838788
16384,0.484130859375,0.014800487153597426
32768,0.493560791015625,0.004389291557291278
65536,0.489471435546875,0.003932489501799616
131072,0.4923858642578125,0.0019983320738957604
262144,0.492095947265625,0.0014083550585124508
524288,0.49051475524902344,0.0018093485319662578
1048576,0.49129581451416016,0.0002199038753908283
2097152,0.49135732650756836,9.472783100851423e-05
4194304,0.4910469055175781,0.0007264301945192619
8388608,0.49146950244903564,0.00013354863752589957
16777216,0.49160730838775635,0.00041398179121961094
33554432,0.4912720024585724,0.00026836107474231515
67108864,0.4914185106754303,2.978109298222742e-05
134217728,0.49141090363264084,1.4300867532331263e-05
268435456,0.49139830470085144,1.1337782061962956e-05
536870912,0.491401931270957,3.957762730193168e-06
